player_name,Total_Shots,Total_xG,Goals,Shots_on_Target,xG_per_Shot,Goals_vs_xG
Cristiano Ronaldo dos Santos Aveiro,228,31.9684259918,35,96,0.1402123947008772,3.0315740082
Luis Alberto Suárez Díaz,139,27.6486560515,40,70,0.19891119461510792,12.351343948499999
Lionel Andrés Messi Cuccittini,158,21.2636039485,26,74,0.13457977182594935,4.736396051500002
Neymar da Silva Santos Junior,123,20.4726230755,24,56,0.16644409004471544,3.5273769245000004
Karim Benzema,98,17.413094785,24,50,0.17768464066326528,6.586905215000002
Gareth Frank Bale,81,8.988327618,19,36,0.11096700762962962,10.011672382
Ivan Rakitić,44,4.7571411036,7,14,0.10811684326363637,2.2428588963999996
Munir El Haddadi Mohamed,17,4.141642312,3,6,0.24362601835294118,-1.141642312
Francisco Román Alarcón Suárez,42,3.5873396570000002,3,10,0.08541284897619048,-0.5873396570000002
Jesé Rodríguez Ruiz,21,3.1827483645,5,17,0.15155944592857143,1.8172516355
Iago Aspas Juncal,12,2.720483386,3,6,0.22670694883333334,0.27951661399999983
Lucas Vázquez Iglesias,24,2.458887195,4,12,0.102453633125,1.541112805
Gerard Piqué Bernabéu,14,2.367547179,2,6,0.16911051278571426,-0.3675471789999998
James David Rodríguez Rubio,39,2.2199385825,7,18,0.05692150211538462,4.7800614175
Sandro Ramírez Castillo,10,1.9301422750000001,0,1,0.19301422750000002,-1.9301422750000001
Andrés Iniesta Luján,23,1.854386722,1,6,0.08062550965217392,-0.8543867220000001
Willian José da Silva,10,1.837073747,2,5,0.1837073747,0.16292625299999997
Luka Modrić,35,1.824649446,2,10,0.052132841314285715,0.175350554
Deyverson Brum Silva Acosta,16,1.606647361,1,7,0.1004154600625,-0.606647361
Aritz Aduriz Zubeldia,11,1.362440454,0,5,0.12385822309090909,-1.362440454
Lucas Pérez Martínez,12,1.302720537,1,5,0.10856004474999999,-0.3027205369999999
Marcelo Vieira da Silva Júnior,20,1.2862940575,2,4,0.06431470287499999,0.7137059425000001
Sergio Ramos García,19,1.1943304557,2,4,0.06285949766842105,0.8056695442999999
Raphaël Varane,12,1.092070128,0,2,0.091005844,-1.092070128
Carlos Henrique Casimiro,20,1.0785193644,1,3,0.053925968219999995,-0.07851936439999996
Sergi Roberto Carnicer,16,0.97758648,0,3,0.061099155,-0.97758648
Danilo Luiz da Silva,18,0.958600025,2,6,0.05325555694444444,1.041399975
Kléper Laveran Lima Ferreira,13,0.933935053,1,5,0.07184115792307692,0.06606494699999998
Toni Kroos,20,0.849344199,1,4,0.04246720995,0.15065580099999998
Fernando José Torres Sanz,10,0.7857736909999999,1,1,0.07857736909999999,0.21422630900000006
Mateo Kovačić,10,0.735938164,0,3,0.0735938164,-0.735938164
Daniel Alves da Silva,16,0.665335579,0,4,0.0415834736875,-0.665335579
André Filipe Tavares Gomes,10,0.66266037,1,4,0.066266037,0.33733963
Jonathan Viera Ramos,12,0.5606259939,1,6,0.046718832825,0.4393740061
